Year,Month,ATM id,STATE,Fin Txn,Non Fin Txn,Monthly Txn,AVG Fin Txn,AVG Non Fin Txn,AVG Total TXN,Monthly Rev,MHA Revenue,ATM Rev Total,CRA,Spare Rep. (SLM) (AssetOEM),Site Maint (Non Asset),Spare Rep.(UPS),FLM,SUPPLIES,UPS AMC,ATM AMC,VSAT AMC,BW + BCKHL,ESURVEILLANCE,HK,SUD,EBILL,RENT,Penalty,Total Cost,Gross Profit,GROSS PROFIT %,ATM TYPE,MARGIN RANGE Current Month,TXN RANGE Current Month,TXN RANGE Previous Month,TXN RANGE Previous 2nd Month,Revenue Performance,Up Time
2024,November, TSFTSK000145189 ,Assam,2942.0,1023.0,3965.0,98.0,34.0,132.0,41651.0,2808.0,44459.0,11134.0,,,,240.0,101,176.0,1250,345.0,715.0,5500.0,775.0,550.0,1750.0,,2083.0,26174,18284,0.41,Regular,Above 30%,125  150,100  125,100  125,40K  50K,0.97
2024,November, TSFTSK000145190 ,Assam,4651.0,1223.0,5874.0,155.0,41.0,196.0,61387.0,4138.0,65526.0,10842.0,,,,240.0,101,,1250,345.0,715.0,5500.0,775.0,550.0,3030.0,,3069.0,27973,37553,0.57,Regular,Above 30%,175  200,175  200,50  75,Above 50K,0.96
2024,November, TSFTSK000145191 ,Assam,5054.0,1334.0,6388.0,168.0,44.0,213.0,65546.0,4419.0,69965.0,11134.0,,,,240.0,101,176.0,1250,345.0,715.0,5500.0,775.0,550.0,5331.0,,3277.0,30950,39015,0.56,Regular,Above 30%,Above 200,125  150,75  100,Above 50K,0.85
2024,November, TSFTSK000145188 ,Assam,2738.0,477.0,3215.0,91.0,16.0,107.0,37889.0,2554.0,40444.0,10842.0,,,,240.0,101,169.0,1250,345.0,715.0,5500.0,775.0,550.0,2163.0,,1894.0,26100,14344,0.35,Captive,Above 30%,100  125,50  75,75  100,40K  50K,0.99
2024,November, TSFTSK000146167 ,Assam,3226.0,770.0,3996.0,108.0,26.0,133.0,44499.0,3000.0,47499.0,11134.0,,,,240.0,101,,1250,226.0,616.0,3700.0,775.0,550.0,1676.0,,2225.0,24049,23451,0.49,Regular,Above 30%,125  150,Above 200,Above 200,40K  50K,0.77
2024,November, TSFTSK000146168 ,Assam,3572.0,780.0,4352.0,119.0,26.0,145.0,48727.0,3285.0,52012.0,11134.0,,,,240.0,101,169.0,1250,226.0,616.0,3700.0,775.0,550.0,2353.0,,2436.0,25106,26906,0.52,Regular,Above 30%,125  150,125  150,150  175,Above 50K,0.98
2024,November, TSFTSK000146169 ,Assam,1637.0,395.0,2032.0,55.0,13.0,68.0,16221.0,1094.0,17314.0,10842.0,,,,240.0,101,169.0,1250,226.0,616.0,3700.0,775.0,550.0,2382.0,,811.0,23218,5904,0.34,Captive,Below 0%,50  75,Below 50,50  75,10K  20K,0.68
2024,November, TSFTSK000182026 ,Assam,2146.0,403.0,2549.0,72.0,13.0,85.0,29994.0,2022.0,32016.0,10842.0,,,,240.0,101,176.0,1250,226.0,616.0,5500.0,775.0,550.0,1559.0,,1500.0,24891,7125,0.22,Regular,20%  25%,75  100,75  100,75  100,30K  35K,0.78
2024,November, TSFTSK000182036 ,Assam,3244.0,628.0,3872.0,108.0,21.0,129.0,31067.0,2094.0,33161.0,10842.0,,,,240.0,101,169.0,1250,226.0,616.0,5500.0,775.0,550.0,1853.0,,1553.0,25231,7930,0.24,Regular,20%  25%,125  150,100  125,100  125,30K  35K,0.0
2024,November, TSFTSK001103179 ,Assam,1741.0,434.0,2175.0,58.0,14.0,73.0,24691.0,1665.0,26355.0,7500.0,,,30000.0,240.0,101,169.0,1250,345.0,715.0,3700.0,,,,,1235.0,46810,20454,0.78,Captive,Below 0%,50  75,Below 50,50  75,25K  30K,0.0
2024,November, TSFTSK002053252 ,Assam,1685.0,390.0,2075.0,56.0,13.0,69.0,23796.0,1604.0,25401.0,11130.0,,,,240.0,101,,1250,226.0,616.0,5500.0,775.0,550.0,2462.0,,1190.0,25596,195,0.01,Regular,Below 0%,50  75,75  100,125  150,25K  30K,0.79
2024,November, TSFTSK015077237 ,Assam,1273.0,335.0,1608.0,42.0,11.0,54.0,18113.0,1221.0,19334.0,9200.0,,,,240.0,101,176.0,1250,,616.0,,,,,,906.0,14045,5289,0.27,Regular,25%  30%,50  75,Below 50,Below 50,10K  20K,0.97
2024,November, TSFTSO000722114 ,Jammu & Kashmir,2450.0,536.0,2986.0,82.0,18.0,100.0,28553.0,2326.0,30879.0,11193.0,,,,240.0,101,,1250,345.0,715.0,,700.0,,506.0,,1428.0,18033,12846,0.42,Regular,Above 30%,75  100,50  75,50  75,30K  35K,0.21
2024,November, TSFTSO000722115 ,Jammu & Kashmir,1096.0,387.0,1483.0,37.0,13.0,49.0,13180.0,1073.0,14253.0,11193.0,,,,240.0,101,169.0,1250,345.0,715.0,,700.0,,474.0,,659.0,17401,3147,0.22,Regular,Below 0%,Below 50,50  75,Below 50,10K  20K,0.59
2024,November, TSFTSO000722113 ,Jammu & Kashmir,1939.0,522.0,2461.0,65.0,17.0,82.0,22868.0,1863.0,24731.0,11193.0,,,,240.0,101,,1250,345.0,715.0,,700.0,,709.0,,1143.0,17952,6779,0.27,Regular,25%  30%,75  100,50  75,50  75,20K  25K,0.97
2024,November, TSFTSO001365037 ,Ladakh,2270.0,712.0,2982.0,76.0,24.0,99.0,27050.0,2203.0,29254.0,19750.0,,650.0,,240.0,101,,1250,345.0,715.0,,800.0,,2000.0,,1353.0,28759,495,0.02,Captive,0%  5%,75  100,75  100,50  75,25K  30K,0.99
2024,November, TSFTSO001365042 ,Ladakh,747.0,342.0,1089.0,25.0,11.0,36.0,9199.0,749.0,9948.0,19750.0,,650.0,,240.0,101,,1250,345.0,715.0,,800.0,,2000.0,,460.0,27866,17918,1.8,Captive,Below 0%,Below 50,50  75,Below 50,Below 10K,0.96
2024,November, TSFTSO001365044 ,Ladakh,897.0,345.0,1242.0,30.0,12.0,41.0,10865.0,885.0,11750.0,19750.0,,4550.0,,240.0,101,,1250,345.0,715.0,,800.0,,2000.0,,543.0,31850,20100,1.71,Captive,Below 0%,Below 50,50  75,Below 50,10K  20K,0.86
2024,November, TSFTSO001365033 ,Ladakh,1206.0,568.0,1774.0,40.0,19.0,59.0,14895.0,1213.0,16109.0,19750.0,,,,240.0,101,,1250,345.0,715.0,,,,2000.0,,745.0,26701,10593,0.66,Captive,Below 0%,50  75,Below 50,Below 50,10K  20K,1.0
2024,November, TSFTSO001365043 ,Ladakh,253.0,252.0,505.0,8.0,8.0,17.0,3492.0,284.0,3776.0,9000.0,,650.0,,240.0,101,,1250,345.0,715.0,,800.0,,2000.0,,175.0,16831,13055,3.46,Captive,Below 0%,Below 50,75  100,Below 50,Below 10K,0.59
2024,November, TSFTSO001365038 ,Ladakh,3338.0,1004.0,4342.0,111.0,33.0,145.0,38433.0,3130.0,41563.0,19750.0,,4550.0,,240.0,101,,1250,345.0,715.0,,775.0,,1725.0,,1922.0,32928,8635,0.21,Regular,20%  25%,125  150,125  150,150  175,40K  50K,0.99
2024,November, TSFTSO001365036 ,Ladakh,5232.0,1199.0,6431.0,174.0,40.0,214.0,55620.0,4530.0,60150.0,19750.0,,,,240.0,101,169.0,1250,345.0,715.0,,775.0,,2000.0,,2781.0,29681,30469,0.51,Regular,Above 30%,Above 200,Above 200,Above 200,Above 50K,0.83
2024,November, TSFTSO001365041 ,Ladakh,4705.0,1158.0,5863.0,157.0,39.0,195.0,51211.0,4171.0,55382.0,19750.0,,4550.0,,240.0,101,,1250,345.0,715.0,,775.0,,2000.0,,2561.0,33842,21540,0.39,Regular,Above 30%,175  200,125  150,150  175,Above 50K,0.94
2024,November, TSFTSO001365035 ,Ladakh,4783.0,1223.0,6006.0,159.0,41.0,200.0,52001.0,4235.0,56236.0,19750.0,,,,240.0,101,,1250,345.0,715.0,,775.0,,4198.0,,2600.0,31529,24707,0.44,Regular,Above 30%,Above 200,175  200,150  175,Above 50K,0.94
2024,November, TSFTSO001365040 ,Ladakh,1852.0,811.0,2663.0,62.0,27.0,89.0,22705.0,1849.0,24554.0,19750.0,,3900.0,,240.0,101,,1250,345.0,715.0,,800.0,,902.0,,1135.0,30694,6139,0.25,Regular,Below 0%,75  100,Above 200,100  125,20K  25K,0.68
2024,November, TSFTSO001365030 ,Ladakh,1333.0,256.0,1589.0,44.0,9.0,53.0,15437.0,1257.0,16694.0,19750.0,,,,240.0,101,,1250,345.0,715.0,,775.0,,2000.0,,772.0,27503,10809,0.65,Regular,Below 0%,50  75,50  75,Below 50,10K  20K,0.9
2024,November, TSFTSO001365031 ,Ladakh,7350.0,1660.0,9010.0,245.0,55.0,300.0,71480.0,5822.0,77302.0,19750.0,,650.0,,240.0,101,169.0,1250,345.0,715.0,,775.0,,2000.0,,3574.0,31124,46178,0.6,Regular,Above 30%,Above 200,Above 200,Above 200,Above 50K,0.94
2024,November, TSFTSO001365045 ,Ladakh,1759.0,605.0,2364.0,59.0,20.0,79.0,21108.0,1719.0,22827.0,19750.0,,650.0,,240.0,101,,1250,345.0,715.0,,800.0,,2000.0,,1055.0,28462,5634,0.25,Captive,Below 0%,75  100,50  75,50  75,20K  25K,0.96
2024,November, TSFTSO001365029 ,Ladakh,2310.0,892.0,3202.0,77.0,30.0,107.0,27813.0,2265.0,30078.0,19750.0,,,,240.0,101,,1250,345.0,715.0,,800.0,,2000.0,,1391.0,28147,1931,0.06,Captive,5%  10%,100  125,100  125,100  125,30K  35K,0.8
2024,November, TSFTSO001365034 ,Ladakh,1275.0,660.0,1935.0,43.0,22.0,65.0,15912.0,1296.0,17208.0,19750.0,,4550.0,,240.0,101,,1250,345.0,715.0,,800.0,,2000.0,,796.0,32102,14894,0.87,Captive,Below 0%,50  75,50  75,50  75,10K  20K,0.82
2024,November, TSFTSO001365039 ,Ladakh,1324.0,521.0,1845.0,44.0,17.0,62.0,16069.0,1309.0,17378.0,19750.0,,,,240.0,101,,1250,345.0,715.0,,800.0,,2000.0,,803.0,27560,10182,0.59,Captive,Below 0%,50  75,50  75,50  75,10K  20K,1.0
2024,November, TSFTSO001365032 ,Ladakh,566.0,355.0,921.0,19.0,12.0,31.0,7235.0,589.0,7824.0,19750.0,,,,240.0,101,,1250,345.0,715.0,,,,2000.0,,362.0,26318,18494,2.36,Captive,Below 0%,Below 50,Below 50,Below 50,Below 10K,0.92
2024,November, TSFTSO001390026 ,Ladakh,3821.0,646.0,4467.0,127.0,22.0,149.0,42561.0,3467.0,46028.0,15750.0,,3900.0,,240.0,101,,1250,345.0,715.0,,775.0,,645.0,,2128.0,27405,18623,0.4,Regular,Above 30%,125  150,175  200,Above 200,40K  50K,0.97
2024,November, TSFTSO001390022 ,Ladakh,645.0,413.0,1058.0,22.0,14.0,35.0,8268.0,673.0,8942.0,15750.0,,3900.0,,240.0,101,169.0,1250,345.0,715.0,,800.0,,2000.0,,413.0,27239,18297,2.05,Captive,Below 0%,Below 50,Below 50,Below 50,Below 10K,1.0
2024,November, TSFTSO001390017 ,Ladakh,948.0,537.0,1485.0,32.0,18.0,50.0,11959.0,974.0,12933.0,15750.0,,650.0,,240.0,101,169.0,1250,345.0,715.0,,800.0,,2000.0,,598.0,24173,11240,0.87,Captive,Below 0%,Below 50,Below 50,Below 50,10K  20K,0.96
2024,November, TSFTSO001390018 ,Ladakh,2195.0,436.0,2631.0,73.0,15.0,88.0,25459.0,2074.0,27533.0,15750.0,,650.0,,240.0,101,,1250,345.0,715.0,,,,8836.0,,1273.0,30715,3183,0.12,Regular,Below 0%,75  100,100  125,100  125,25K  30K,0.84
2024,November, TSFTSO001390021 ,Ladakh,1673.0,784.0,2457.0,56.0,26.0,82.0,20652.0,1682.0,22335.0,15750.0,,3900.0,,240.0,101,,1250,345.0,715.0,,775.0,,328.0,,1033.0,25992,3658,0.16,Regular,Below 0%,75  100,100  125,125  150,20K  25K,0.82
2024,November, TSFTSO001390020 ,Ladakh,495.0,254.0,749.0,17.0,8.0,25.0,6171.0,503.0,6674.0,9000.0,,,,240.0,101,169.0,1250,345.0,715.0,,800.0,,2000.0,,309.0,16484,9810,1.47,Captive,Below 0%,Below 50,Below 50,Below 50,Below 10K,0.99
2024,November, TSFTSO001390019 ,Ladakh,3705.0,799.0,4504.0,124.0,27.0,150.0,41703.0,3397.0,45099.0,15750.0,,,,240.0,101,,1250,345.0,616.0,,800.0,,2000.0,,2085.0,24743,20356,0.45,Captive,Above 30%,150  175,125  150,100  125,40K  50K,0.91
2024,November, TSFTSO001390025 ,Ladakh,2105.0,496.0,2601.0,70.0,17.0,87.0,24630.0,2006.0,26637.0,15750.0,,3900.0,,240.0,101,,1250,345.0,715.0,,775.0,,4600.0,,1232.0,30463,3826,0.14,Regular,Below 0%,75  100,100  125,100  125,25K  30K,0.81
2024,November, TSFTSO001390024 ,Ladakh,3622.0,781.0,4403.0,121.0,26.0,147.0,40837.0,3326.0,44163.0,15750.0,,3900.0,,240.0,101,,1250,345.0,715.0,,,,5121.0,,2042.0,31019,13143,0.3,Regular,25%  30%,125  150,75  100,75  100,40K  50K,0.94
2024,November, TSFTSO001390023 ,Ladakh,2512.0,652.0,3164.0,84.0,22.0,105.0,29406.0,2395.0,31801.0,15750.0,,,,240.0,101,,1250,345.0,715.0,,775.0,,9200.0,,1470.0,31402,399,0.01,Regular,0%  5%,100  125,50  75,75  100,30K  35K,1.0
2024,November, TSFTSO001478082 ,Jammu & Kashmir,1754.0,364.0,2118.0,58.0,12.0,71.0,20387.0,1661.0,22048.0,11850.0,,,,240.0,101,,1250,345.0,715.0,,,,3007.0,,1019.0,20083,1965,0.09,Regular,5%  10%,50  75,Below 50,Below 50,20K  25K,1.0
2024,November, TSFTSO003198038 ,Jammu & Kashmir,2015.0,508.0,2523.0,67.0,17.0,84.0,16689.0,1349.0,18038.0,9500.0,,,,240.0,101,169.0,1250,,,,775.0,,2000.0,,834.0,16424,1614,0.09,Regular,5%  10%,75  100,50  75,Below 50,10K  20K,1.0
2024,November, TSFTSO003198036 ,Jammu & Kashmir,631.0,293.0,924.0,21.0,10.0,31.0,7782.0,634.0,8416.0,9500.0,,,,240.0,101,169.0,1250,345.0,715.0,,800.0,,2000.0,,389.0,17064,8649,1.03,Captive,Below 0%,Below 50,Below 50,Below 50,Below 10K,0.99
2024,November, TSFTSO003198035 ,Jammu & Kashmir,3425.0,847.0,4272.0,114.0,28.0,142.0,26009.0,2223.0,28232.0,9500.0,,,,240.0,101,,1250,,,,775.0,,2000.0,,1300.0,16722,11510,0.41,Regular,Above 30%,125  150,125  150,125  150,25K  30K,0.96
2024,November, TSFTSO004596013 ,Jammu & Kashmir,1367.0,433.0,1800.0,46.0,14.0,60.0,16302.0,1328.0,17629.0,11193.0,,,,240.0,101,,1250,345.0,,,800.0,,475.0,3750.0,815.0,20524,2895,0.16,Regular,Below 0%,50  75,175  200,150  175,10K  20K,0.77
2024,November, TSFTSK000928163 ,Assam,1539.0,619.0,2158.0,51.0,21.0,72.0,22612.0,1524.0,24136.0,8000.0,,,,240.0,101,176.0,1250,226.0,616.0,2750.0,,,2000.0,2700.0,1131.0,20746,3390,0.14,Regular,10%  15%,50  75,50  75,50  75,20K  25K,0.86
2024,November, TSFTSK000969153 ,Assam,4147.0,839.0,4986.0,138.0,28.0,166.0,55279.0,3727.0,59006.0,11134.0,,,,240.0,101,169.0,1250,,,1850.0,,,1019.0,5300.0,2764.0,25382,33624,0.57,Regular,Above 30%,150  175,75  100,100  125,Above 50K,0.95
2024,November, TSFTSK000971361 ,Assam,1476.0,622.0,2098.0,49.0,21.0,70.0,21781.0,1468.0,23249.0,10842.0,,,,240.0,101,,1250,345.0,,2750.0,775.0,550.0,1717.0,,1089.0,21214,2035,0.09,Regular,5%  10%,50  75,50  75,50  75,20K  25K,0.69
2024,November, TSFTSK000983012 ,Assam,2280.0,463.0,2743.0,76.0,15.0,91.0,31983.0,2156.0,34139.0,11134.0,,,,240.0,101,169.0,1250,226.0,616.0,5500.0,775.0,550.0,2579.0,,1599.0,26295,7845,0.23,Regular,20%  25%,75  100,125  150,150  175,30K  35K,0.75
2024,November, TSFTSK000983014 ,Assam,5151.0,914.0,6065.0,172.0,30.0,202.0,66257.0,4467.0,70724.0,11134.0,,,,240.0,101,169.0,1250,226.0,616.0,5500.0,775.0,550.0,2454.0,,3313.0,27884,42840,0.61,Regular,Above 30%,Above 200,Above 200,Above 200,Above 50K,0.99
2024,November, TSFTSK000983017 ,Assam,5837.0,1769.0,7606.0,195.0,59.0,254.0,73442.0,4951.0,78393.0,11573.0,,,,240.0,101,169.0,1250,345.0,,2750.0,,,1568.0,3900.0,3672.0,27123,51270,0.65,Regular,Above 30%,Above 200,Above 200,125  150,Above 50K,0.81
2024,November, TSFTSK000983018 ,Assam,3014.0,682.0,3696.0,100.0,23.0,123.0,41713.0,2812.0,44525.0,10842.0,,350.0,,240.0,101,169.0,1250,345.0,715.0,5500.0,775.0,550.0,6007.0,,2086.0,30485,14040,0.32,Regular,Above 30%,100  125,100  125,100  125,40K  50K,0.97
2024,November, TSFTSK000104031 ,Assam,2221.0,419.0,2640.0,74.0,14.0,88.0,31049.0,2093.0,33142.0,10842.0,,350.0,,240.0,101,,1250,226.0,,2750.0,775.0,,1500.0,,1552.0,21142,12000,0.36,Regular,Above 30%,75  100,75  100,75  100,30K  35K,0.95
2024,November, TSFTSK000104033 ,Assam,4819.0,1109.0,5928.0,161.0,37.0,198.0,42406.0,2975.0,45381.0,11134.0,,350.0,,240.0,101,176.0,1250,,,5500.0,775.0,550.0,2000.0,,2120.0,25752,19629,0.43,Regular,Above 30%,175  200,175  200,175  200,40K  50K,0.99
2024,November, TSFTSK000104036 ,Assam,3248.0,550.0,3798.0,108.0,18.0,127.0,30973.0,2088.0,33061.0,10842.0,,,,240.0,101,176.0,1250,345.0,715.0,5500.0,775.0,550.0,6500.0,,1549.0,30099,2962,0.09,Captive,5%  10%,125  150,100  125,50  75,30K  35K,1.0
2024,November, TSFTSK000104038 ,Assam,5508.0,1055.0,6563.0,184.0,35.0,219.0,69787.0,4705.0,74491.0,10842.0,,350.0,,240.0,101,169.0,1250,345.0,715.0,5500.0,775.0,550.0,3000.0,,3489.0,28882,45610,0.61,Regular,Above 30%,Above 200,125  150,125  150,Above 50K,1.0
2024,November, TSFTSK000146166 ,Assam,6365.0,1063.0,7428.0,212.0,35.0,248.0,78052.0,5262.0,83314.0,11134.0,,,,240.0,101,176.0,1250,,,,775.0,550.0,1474.0,,3903.0,21158,62157,0.75,Regular,Above 30%,Above 200,Above 200,175  200,Above 50K,1.0
2024,November, TSFTSK001539072 ,Mizoram,10449.0,915.0,11364.0,348.0,31.0,379.0,111871.0,7542.0,119413.0,7500.0,,,,240.0,101,195.0,1250,382.0,715.0,,,,,,5594.0,17532,101880,0.85,Regular,Above 30%,Above 200,Above 200,Above 200,Above 50K,0.92
2024,November, TSFTSK002065042 ,Assam,4098.0,1176.0,5274.0,137.0,39.0,176.0,55245.0,3724.0,58969.0,10842.0,,,,240.0,101,169.0,1250,345.0,715.0,3700.0,775.0,550.0,2024.0,,2762.0,25028,33941,0.58,Regular,Above 30%,175  200,125  150,150  175,Above 50K,0.95
2024,November, TSFTSK015077233 ,Assam,3239.0,753.0,3992.0,108.0,25.0,133.0,31232.0,2106.0,33337.0,10842.0,,,,240.0,101,176.0,1250,226.0,616.0,3700.0,775.0,550.0,5472.0,,1562.0,27066,6271,0.19,Captive,15%  20%,125  150,75  100,100  125,30K  35K,0.97
